Gender,Teacher,Period,Student ID,Gender,Ethnicity,Economic,LEP,SCICOUR,CTE,TOT,BIO,ELA,Alg,GPA,TOSLS1,TOSLS2,TOSLS3,TOSLS4,TOSLS5,TOSLS6,TOSLS7,TOSLS8,TOSLS9,TOSLSTOT,BRAINS1,BRAINS2,BRAINS3,BRAINS4,BRAINS5,BRAINSTOT,SORT
F,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lewis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lewis,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lewis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lewis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,Lewis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lewis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lewis,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Nyholm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Stapp,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Stapp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Brennan,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
F,Brennan,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
F,Brennan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
F,Brennan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
F,Brennan,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
M,Brennan,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
F,Brennan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
M,Brennan,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
F,Brennan,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
M,Brennan,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
